dataset,method,seed,beta,selected_raw,final_m,anchor_m,D_anchor,T_D,val_mse,test_mse,quality_met,original_seconds,added_anchor_seconds,accounted_seconds,state,id_fallback,budget_exhausted,compact,calibration_seconds,final_constraint_ma
MNIST,B6b_plus_Q,42,1.0,32,32,64,0.023851687684351083,0.02623685645278619,0.02336780407963967,0.022936931584157102,True,136.89623379707336,0.0,136.89623379707336,SUCCESS,False,False,True,4.144804000854492,
MNIST,B6b_plus_Q,123,1.0,6,6,64,0.02427723039899554,0.02670495343889509,0.022411734444754465,0.02202388550635098,True,87.65095686912537,0.0,87.65095686912537,SUCCESS,False,False,True,4.144804000854492,
MNIST,B6b_plus_Q,777,1.0,6,6,64,0.022899083974410078,0.025188992371851085,0.02243539771255182,0.022122164148862672,True,115.39864587783813,0.0,115.39864587783813,SUCCESS,False,False,True,4.144804000854492,
MNIST,B6b_plus_Q,2024,1.0,6,6,64,0.023515710947464925,0.025867282042211417,0.022447507897201853,0.02193109836708121,True,114.8989577293396,0.0,114.8989577293396,SUCCESS,False,False,True,4.144804000854492,
MNIST,B6b_plus_Q,31337,1.0,8,8,64,0.024017999765824295,0.026419799742406724,0.02203950531628667,0.02164341061131484,True,136.6905643939972,0.0,136.6905643939972,SUCCESS,False,False,True,4.144804000854492,
dSprites,B1_full_mse,42,1.0,64,64,64,0.0011661780774593353,0.0012827958852052689,0.0011661780774593353,0.001149588018655777,True,2653.6566400527954,0.0,2653.6566400527954,SUCCESS,False,False,False,0.0,
dSprites,B1_full_mse,123,1.0,64,64,64,0.001138049766421318,0.00125185474306345,0.001138049766421318,0.0011252888143062593,True,2581.0312643051147,0.0,2581.0312643051147,SUCCESS,False,False,False,0.0,
dSprites,B1_full_mse,777,1.0,32,32,64,0.0012045322060585022,0.0013249854266643524,0.0011675848215818405,0.0011483644843101502,True,2548.360376358032,0.0,2548.360376358032,SUCCESS,False,False,True,0.0,
dSprites,B1_full_mse,2024,1.0,64,64,64,0.00116694313287735,0.001283637446165085,0.00116694313287735,0.001154283086458842,True,2606.2951407432556,0.0,2606.2951407432556,SUCCESS,False,False,False,0.0,
dSprites,B1_full_mse,31337,1.0,64,64,64,0.0011734385192394257,0.0012907823711633684,0.0011734385192394257,0.001165797789891561,True,2434.499723672867,0.0,2434.499723672867,SUCCESS,False,False,False,0.0,
dSprites,B2_full_elbo,42,1.0,64,64,64,0.0011661780774593353,0.0012827958852052689,0.0011661780774593353,0.001149588018655777,True,2653.6566400527954,0.0,2653.6566400527954,SUCCESS,False,False,False,0.0,
dSprites,B2_full_elbo,123,1.0,64,64,64,0.001138049766421318,0.00125185474306345,0.001138049766421318,0.0011252888143062593,True,2581.0312643051147,0.0,2581.0312643051147,SUCCESS,False,False,False,0.0,
dSprites,B2_full_elbo,777,1.0,32,32,64,0.0012045322060585022,0.0013249854266643524,0.0011675848215818405,0.0011483644843101502,True,2548.360376358032,0.0,2548.360376358032,SUCCESS,False,False,True,0.0,
dSprites,B2_full_elbo,2024,1.0,64,64,64,0.00116694313287735,0.001283637446165085,0.00116694313287735,0.001154283086458842,True,2606.2951407432556,0.0,2606.2951407432556,SUCCESS,False,False,False,0.0,
dSprites,B2_full_elbo,31337,1.0,64,64,64,0.0011734385192394257,0.0012907823711633684,0.0011734385192394257,0.001165797789891561,True,2434.499723672867,0.0,2434.499723672867,SUCCESS,False,False,False,0.0,
